Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
МБАЛ-ОМУРТАГ ЕАД,Търговище,ОМУРТАГ,Омуртаг,ул. Търновска 55,"ХРИСТО ЛЮБОМИРОВ ЖЕЛЕВ, ПАВЛИНА СТОЯНОВА ПАВЛОВА, МЕХМЕД ХАСАНОВ АХМЕДОВ, БОЯН СЕРГЕЕВ ФИЛЕВ, СТИЛИЯН ЛЮБЕНОВ ГРИГОРОВ, ЗЮЛБИЕ ИСМАИЛОВА МУСТАФОВА, Д-Р ЙОШЕНКА НЕНЧЕВА ЖЕЛЯЗКОВА-РУСЕВА","0605/2480,0605/4176,0605/64176,0605/62480,0605/62780,0605/64146",ул. Търновска 55,Омуртаг,55,Търновска,"ул. Търновска 55, Омуртаг, България",43.1053722,26.4176064,nominatim_free,"Търновска, Омуртаг, Търговище, 7900, България",45
МБАЛ-ПОПОВО ЕООД,Търговище,ТЪРГОВИЩЕ,Търговище,ул. Пирин 16,"ЙОВЧО ЯНКОВ ЯКОВ, ИВАН ПЕТКОВ ДИМИТРОВ, ИВАН НИКОЛОВ ГУЩАНОВ, ЯНКА АНДРЕЕВА ИВАНОВА, РУМЕН СТОЙЧЕВ РУСЕВ","0608/42401,0608/43912,0608/43574",ул. Пирин 16,Търговище,16,Пирин,"ул. Пирин 16, Търговище, България",43.3178181,26.6236889,nominatim_free,"ул. Пирин Планина, Съединение, Търговище, България",45
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД,Бургас,БУРГАС,Бургас,ул. Георги Минков 174,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170",ул. Георги Минков 174,Бургас,174,Георги Минков,"ул. Георги Минков 174, Бургас, България",42.5188696,27.4567561,nominatim_free,"Георги Минков, ж.к. П. Р. Славейков, Бургас, 8005, България",55
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД,Бургас,БУРГАС,Бургас,ул. Транспортна 33,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170",ул. Транспортна 33,Бургас,33,Транспортна,"ул. Транспортна 33, Бургас, България",42.5301054,27.4601106,nominatim_free,"Транспортна, ж.к. Изгрев, Бургас, 8008, България",45
МЕДИЦИНСКИ ЦЕНТЪР ЗА СПЕЦИАЛИЗИРАНА ПОМОЩ Д-Р ИВАНОВИ - МЛАДОСТ ООД,Бургас,НЕСЕБЪР,Несебър,ул. Иван Вазов 11,Д-Р МЕТОДИ ПЕТКОВ ИВАНОВ,"0896/660772,056/859850,0896777170",ул. Иван Вазов 11,Несебър,11,Иван Вазов,"ул. Иван Вазов 11, Несебър, България",42.6546965,27.7099059,nominatim_free,"Иван Вазов, ж.к. Перла, Несебър, Бургас, 8230, България",55
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА ЕКАТЕРИНА - ДИМИТРОВГРАД ЕООД,Хасково,ДИМИТРОВГРАД,Димитровград,ул. Христо Ботев 29,"АЛДИН ХИТОВ КАРАГЬОЗОВ, МАТЕЙ АСЕНОВ МАТЕЕВ, ЗДРАВКО АНГЕЛОВ НАКОВ","0391/63436,0391/63699,0391/64024",ул. Христо Ботев 29,Димитровград,29,Христо Ботев,"ул. Христо Ботев 29, Димитровград, България",42.0518272,25.5821824,nominatim_free,"Христо Ботев, кв. Христо Ботев, Димитровград, Хасково, 6400, България",55
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД,Бургас,БУРГАС,Бургас,бул. Стефан Стамболов 73,"ХАРЛИН СТОЯНОВ ТУМБЕВ, ЖИВКО СТОЙКОВ КОЛЕВ",02/9625454,бул. Стефан Стамболов 73,Бургас,73,Стефан Стамболов,"бул. Стефан Стамболов 73, Бургас, България",42.5197956,27.4585165,nominatim_free,"бул. Стефан Стамболов, ж.к. П. Р. Славейков, Бургас, 8005, България",55
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД,Бургас,БУРГАС,Бургас,УПИ VII-842 кв.68 по плана на ПЗ Север,"ХАРЛИН СТОЯНОВ ТУМБЕВ, ЖИВКО СТОЙКОВ КОЛЕВ",02/9625454,УПИ VII-842 кв.68 по плана на ПЗ Север,Бургас,,УПИ VII-842 кв.68 по плана на ПЗ Север,"УПИ VII-842 кв.68 по плана на ПЗ Север, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СЪРЦЕ И МОЗЪК ЕАД,Бургас,БУРГАС,Бургас,ул. Здраве 29,"ХАРЛИН СТОЯНОВ ТУМБЕВ, ЖИВКО СТОЙКОВ КОЛЕВ",02/9625454,ул. Здраве 29,Бургас,29,Здраве,"ул. Здраве 29, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ГР. СРЕДЕЦ,Бургас,СРЕДЕЦ,Средец,ул. Тодор Николов 10,"ВЪЛЬО НИКОЛОВ КОМНЕВ, ЧАВДАР ХРИСТОВ КАРАБАДЖАКОВ, Д-Р ВЪЛЬО НИКОЛОВ КОМНЕВ, ИВАЙЛО ЦАНЕВ ЦАНЕВ, ГЕОРГИ ХРИСТОВ ГЕОРГИЕВ, СТЕЛИЯН ПРОДАНОВ СЛАВОВ, ДАНИЕЛА ПРОДАНОВА БOЗДУКОВА, Д-Р РОСИЦА ВЕЛИКОВА ДИЧЕВА","05551/3560,0887/640699",ул. Тодор Николов 10,Средец,10,Тодор Николов,"ул. Тодор Николов 10, Средец, България",42.3411885,27.1830262,nominatim_free,"Тодор Николов, Средец, Бургас, 8300, България",55
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ЛАЙФ ХОСПИТАЛ ЕООД,Бургас,БУРГАС,Бургас,жк Изгрев бул. Димитър Димов /Панорамен път/,"Д-Р МАРИЯ СТАВРЕВА ДИМИТРОВА, Д-Р СПАСИМИР СТЕФАНОВ ИВАНОВ","056/875041,08886/833493",жк Изгрев бул. Димитър Димов /Панорамен път/,Бургас,,Изгрев бул. Димитър Димов /Панорамен път/,"жк Изгрев бул. Димитър Димов /Панорамен път/, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ЛАЙФ ХОСПИТАЛ ЕООД,Бургас,НЕСЕБЪР,Свети Влас,ул. Ивайло 11А,"Д-Р МАРИЯ СТАВРЕВА ДИМИТРОВА, Д-Р СПАСИМИР СТЕФАНОВ ИВАНОВ","056/875041,08886/833493",ул. Ивайло 11А,Свети Влас,11А,Ивайло,"ул. Ивайло 11А, Свети Влас, България",42.7154394,27.7584961,nominatim_free,"Ивайло, кв. Инцараки, Свети Влас, Несебър, Бургас, 8256, България",45
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - СВИЛЕНГРАД ЕООД,Хасково,СВИЛЕНГРАД,Свиленград,ул. Сан Стефано 1,"Д-Р ДИМИТЪР АНГЕЛОВ ЕРМОВ, РАДОСТ МИТЕВА СКЕРЛЕВА","037974071,037971534",ул. Сан Стефано 1,Свиленград,1,Сан Стефано,"ул. Сан Стефано 1, Свиленград, България",41.7674284,26.2131176,nominatim_free,"Сан Стефано, ж.к. Изгрев, Свиленград, Хасково, 6500, България",45
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ Д-Р МАДЖУРОВ ООД,Бургас,БУРГАС,Бургас,жк Зорница срещу 15,"Д-Р АЛЕКСАНДЪР ГЕОРГИЕВ МАДЖУРОВ, Д-Р ГЕОРГИ АЛЕКСИЕВ МАДЖУРОВ","056/877940,0888305819,056/877950,0897/841214,056/865730",жк Зорница срещу 15,Бургас,15,Зорница срещу,"жк Зорница срещу 15, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ КАРНОБАТ ЕООД,Бургас,КАРНОБАТ,Карнобат,ул. Стара планина 180,"Д-Р НИКОЛАЙ МИХАЙЛОВ КОЛИБАРОВ, КРАСИМИР ИВАНОВ МАРИНОВ, ХРИСТО ХРИСТОВ ИВАНОВ","0559/27054,0893/041718",ул. Стара планина 180,Карнобат,180,Стара планина,"ул. Стара планина 180, Карнобат, България",42.6450835,26.989925,nominatim_free,"Стара планина, кв. Люлянци, Карнобат, Бургас, 8400, България",55
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-АЙТОС ЕООД,Бургас,АЙТОС,Айтос,ул. Шейново 4,"ГЮЛНАР ВЕЛИ ХАБИЛ, ПАРУШ ДИМИТРОВ ПАРУШЕВ, ЗЛАТИНА КИРОВА ИВАНОВА",0898/357354,ул. Шейново 4,Айтос,4,Шейново,"ул. Шейново 4, Айтос, България",42.6973761,27.262644,nominatim_free,"Шейново, кв. Странджа, Айтос, Бургас, 8500, България",45
МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-БУРГАСМЕД ЕООД,Бургас,БУРГАС,Бургас,жк Меден Рудник зона А,"Д-Р СТОИЛ ГЕОРГИЕВ АПОСТОЛОВ, Д-Р ПЕНКО МИНЧЕВ ПЕНКОВ, БОЙКО ГЕОРГИЕВ МИРАЗЧИЙСКИ, ТОДОР ВАСИЛЕВ УШЕВ, ЗАПРИН ТОДОРОВ ПЕПЕЛОВ, ДИНЧО ГЕНЕВ ГЕНЕВ","056/999980,056/707602",жк Меден Рудник зона А,Бургас,,Меден Рудник зона А,"жк Меден Рудник зона А, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
НЕФРОЦЕНТЪР БУРГАС ООД,Бургас,БУРГАС,Бургас,Северна промишлена зона бул. Янко Комитов 7,Д-Р ПЕТЯ КИРОВА КУПЕНОВА-ТОНЕВА,"0889/846911,0886/036476",Северна промишлена зона бул. Янко Комитов 7,Бургас,7,Северна промишлена зона бул. Янко Комитов,"Северна промишлена зона бул. Янко Комитов 7, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
ОЧЕН МЕДИЦИНСКИ ЦЕНТЪР ХАСКОВО ООД,Хасково,ХАСКОВО,Хасково,ул. П. Евтимий 1 нула-,ПРОФ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042601460,ул. П. Евтимий 1 ет. нула-партер,Хасково,,П. Евтимий,"ул. П. Евтимий 1 нула-, Хасково, България",41.9341387,25.5561658,nominatim_structured,"Патриарх Евтимий, Хасково център, Хасково, 6300, България",57
СБР-Тузлата ЕООД,Добрич,БАЛЧИК,Балчик,местност Тузлата,"МАРИЯ ВАСИЛЕВА СТАЙКОВА, КАМЕЛИЯ КИРЧЕВА СТАНЕВА","0579/72480,0882/528595",местност Тузлата,Балчик,,местност Тузлата,"местност Тузлата, Балчик, България",43.4014557,28.2228719,nominatim_free,"Местност ""Тузлата"", Балчик, Добрич, България",50
СОБАЛ Д-Р ТАСКОВ ООД,Търговище,ТЪРГОВИЩЕ,Търговище,ул. Александър Стамболийски 25,ДИМИТЪР ГЕОРГИЕВ ТАСКОВ,0601/63404,ул. Александър Стамболийски 25,Търговище,25,Александър Стамболийски,"ул. Александър Стамболийски 25, Търговище, България",43.2574745,26.5307537,nominatim_free,"Александър Стамболийски, кв. Въбел, Търговище, 7700, България",55
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ НА ПНЕВМО-ФТИЗИАТРИЧНИ ЗАБОЛЯВАНИЯ- БУРГАС ЕООД,Бургас,БУРГАС,Бургас,ул. Генерал Гурко 64,Д-Р ЕВЕЛИНА ДИМИТРОВА ТРОШАНОВА-ГРОШЕВА,"056/896241,0888/735849,056/896222,0878/877022",ул. Генерал Гурко 64,Бургас,64,Генерал Гурко,"ул. Генерал Гурко 64, Бургас, България",42.4999983,27.4764193,nominatim_free,"Генерал Гурко, Централна градска част, Бургас, 8001, България",55
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ВЪТРЕШНИ БОЛЕСТИ - ТОПОЛОВГРАД ЕООД,Хасково,ТОПОЛОВГРАД,Тополовград,ул. Мусала 1,"Д-Р ЕМИЛ ДЕЛЧЕВ ЕВТИМОВ, ДИМИТЪР АНГЕЛОВ ЕРМОВ","0470/52183,0470/53372",ул. Мусала 1,Тополовград,1,Мусала,"ул. Мусала 1, Тополовград, България",42.0837977,26.3292553,nominatim_free,"Мусала, ж.к. Сакар, Тополовград, Хасково, 6560, България",45
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА ПРОДЪЛЖИТЕЛНО ЛЕЧЕНИЕ И РЕХАБИЛИТАЦИЯ - ЛЮБИМЕЦ ЕООД,Хасково,ЛЮБИМЕЦ,Любимец,ул. Републиканска 38,ИВАН РАДКОВ ИЛИЕВ,"037517296,037517151",ул. Републиканска 38,Любимец,38,Републиканска,"ул. Републиканска 38, Любимец, България",41.8555168,26.0735369,nominatim_free,"Републиканска, Любимец, Хасково, България",45
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ НЕСЕБЪР АД,Бургас,НЕСЕБЪР,Несебър,ул. Иван Вазов 11 Здравна къща Несебър,"Д-Р ПЛАМЕН МИХАЙЛОВ ЛАКОВ, Д-Р ЦВЕТАН ДИМИТРОВ ГЕРГОВ, ГЕОРГИ КОЛЕВ КОЛЕВ, Д-Р ГАЛИНА ТРУФАНОВА КЪРЧЕВА, НИКОЛАЙ ГЕОРГИЕВ КОЛЕВ","0876/022232,0554/30123",ул. Иван Вазов 11 Здравна къща Несебър,Несебър,,Иван Вазов,"ул. Иван Вазов 11 Здравна къща Несебър, Несебър, България",42.6546965,27.7099059,nominatim_structured,"Иван Вазов, ж.к. Перла, Несебър, Бургас, 8230, България",55
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ - НАЦИОНАЛЕН КОМПЛЕКС ЕАД СОФИЯ ФИЛИАЛ ПОМОРИЕ,Бургас,ПОМОРИЕ,Поморие,ул. Проф. Парашкев Стоянов 7,"Д-Р МАРГАРИТА ИВАНОВА МИХАЙЛОВА, АНТОАНЕТА СТЕФАНОВА ГРОЗЕВА, СТЕФКО НИКОЛОВ ГЕОРГИЕВ, ПЛУМЕЛИНА ДИМИТРОВА МИЧЕВА, ГЕОРГИ АНДРЕЕВ ПРОДРОМОВ",,ул. Проф. Парашкев Стоянов 7,Поморие,7,Проф. Парашкев Стоянов,"ул. Проф. Парашкев Стоянов 7, Поморие, България",42.5736185,27.6344355,nominatim_free,"Професор Парашкев Стоянов, кв. Свобода, Поморие, Бургас, 8201, България",55
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ МАРИ ООД,Бургас,НЕСЕБЪР,Несебър,местност Кокалу ул. Кипарис 8,"Д-Р АНТОАНЕТА ЙОРДАНОВА ГЬОНКОВА, Д-Р МАРГАРИТА ЖИКОВА ГРОЗДИНСКА, СТЕФКО НИКОЛОВ ГЕОРГИЕВ","0888/684045,0885/156334,0554/70473",местност Кокалу ул. Кипарис 8,Несебър,8,местност Кокалу ул. Кипарис,"местност Кокалу ул. Кипарис 8, Несебър, България",42.6532823,27.6927367,overpass,Специализирана болница за рехабилитация Мари,50
СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ СТАЙКОВ И ФАМИЛИЯ ЕООД,Бургас,НЕСЕБЪР,Несебър,к.к. Слънчев бряг хотел Средец,"ИВАН ЙОРДАНОВ СТАЙКОВ, ЙОРДАН ИВАНОВ СТАЙКОВ, Д-Р ВЕРГИНИЯ ДАНЧОВА ЦАНОВА-ИВАНОВА",0892/010303,к.к. Слънчев бряг хотел Средец,Несебър,,к.к. Слънчев бряг хотел Средец,"к.к. Слънчев бряг хотел Средец, Несебър, България",42.6532823,27.6927367,overpass,Специализирана болница за рехабилитация Мари,50
СПЕЦИАЛИЗИРАНА ОЧНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - БУРГАС ООД,Бургас,БУРГАС,Бургас,жк П. Р. Славейков ул. Георги Минков 174,"ПЕТКО МЕТОДИЕВ ИВАНОВ, Д-Р НИКОЛАЙ ПЕТКОВ ИВАНОВ","0896/777165,056/859840,0896/660772",жк П. Р. Славейков ул. Георги Минков 174 до спортна зала Младост,Бургас,174,П. Р. Славейков ул. Георги Минков,"жк П. Р. Славейков ул. Георги Минков 174, Бургас, България",42.5135674,27.4659001,overpass,УМБАЛ Бургас,50
УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД,Плевен,ПЛЕВЕН,Плевен,ул. Гео Милев 14,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666",ул. Гео Милев 14,Плевен,14,Гео Милев,"ул. Гео Милев 14, Плевен, България",43.4736029,24.7003905,nominatim_free,"Гео Милев, Върбица, Плевен, България",45
УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ БУРГАС АД,Бургас,БУРГАС,Бургас,ул. Стефан Стамболов 73,"БОЙКО ГЕОРГИЕВ МИРАЗЧИЙСКИ, МИРОСЛАВ ОБРЕЙКОВ ОБРЕЙКОВ, Д-Р СВЕТЛОЗАР БОРИСОВ ГЕОРГИЕВ, БОЯН СЛАВЧЕВ БУДАКОВ, Д-Р СТЕФАН ИВАНОВ СТАНЧЕВ, ГЕОРГИ ЕНЧЕВ МАТЕВ, ПРОФ. Д-Р ВЛАДИМИР ХРИСТОВ ГОНЧЕВ","056/894700,056/810583",ул. Стефан Стамболов 73,Бургас,73,Стефан Стамболов,"ул. Стефан Стамболов 73, Бургас, България",42.5379963,27.4428072,nominatim_free,"Стефан Стамболов, кв. Хоризонт, Бургас, 8010, България",55
УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ДЕВА МАРИЯ ЕООД,Бургас,БУРГАС,Бургас,ул. Ванче Михайлов 1,"Д-Р ХРИСТО КРЪСТЕВ ЯКИМОВ, ДАНИЕЛА ПРОДАНOVA БОЗДУКОВА, ДИМИТЪР ЕСЕНОВ ИЛИЕВ, СТЕФАН ИВАНОВ КАСАБОВ, ГЕОРГИ МАРИНОВ ГЕОРГИЕВ, Д-Р СНЕЖА ЗГУРОВА СТРАНДЖЕВА, ХРИСТО ДОБРЕВ ДОБРЕВ","056/896273,056/896262,0884/257744",ул. Ванче Михайлов 1,Бургас,1,Ванче Михайлов,"ул. Ванче Михайлов 1, Бургас, България",42.507498,27.4659392,nominatim_free,"Ванче Михайлов, ж.к. Братя Миладинови, Бургас, 8000, България",55
SBR_NK_VN,Пазарджик,ВЕЛИНГРАД,Велинград,ул. Гоце Делчев 38,ИЛЗА ВЪЛЧЕВА ПОПОВА,0359/55491,ул. Гоце Делчев 38,Велинград,38,Гоце Делчев,"ул. Гоце Делчев 38, Велинград, България",42.069058,24.0066088,nominatim_free,"Гоце Делчев, Драгиново, Велинград, Пазарджик, 4600, България",55
АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ЕООД,София (столица),СОФИЯ 17 рн ВИТОША,София Кв.Драгалевци,ул. Константин Помянов-1,"ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, МЕЛИХ КАРАХАСАНОГЛУ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, АНДРЕЙ ПЪРВАНОВ МАРКОВ, Д-Р САШКА ЛАЗАРОВА РУСКОВА, АТАНАС ИВАНОВ ТУМАНОВ, АЛЕКСАНДЪР ВАЛЕНТИНОВ ИЛИЕВ","02/9604949,02/9604919",ул. Константин Помянов-1,София Кв.Драгалевци,1,Константин Помянов-1,"ул. Константин Помянов-1, София Кв.Драгалевци, България",42.6381696,23.3162023,nominatim_free,"Константин Помянов, кв. Драгалевци, София, Витоша, Столична, София-град, 1405, България",55
АИСМП-МЦ за очно здраве ВИСТА ООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Александър Стамболийски 31,Д-Р АНТОН ТЕНЕВ АНГЕЛОВ,0889/453545,ул. Александър Стамболийски 31,Пловдив,31,Александър Стамболийски,"ул. Александър Стамболийски 31, Пловдив, България",42.1092272,24.8526048,nominatim_free,"Александър Стамболийски, Катунско Конаре, Ягодово, Родопи, Пловдив, 4113, България",55
АМЦСМП ОМЦ Свети Николай Чудотворец ООД,Варна,ВАРНА,Варна,ул. Ген. Стефан Тошев 36А,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,052630670,ул. Ген. Стефан Тошев 36А,Варна,36А,Ген. Стефан Тошев,"ул. Ген. Стефан Тошев 36А, Варна, България",43.2164849,27.9224298,nominatim_free,"Ген. Стефан Тошев, кв. Левски, Варна, Приморски, Варна, 9002, България",55
АМЦСМП ОМЦ Свети Николай Чудотворец ООД,Добрич,ДОБРИЧ-ГРАД,Добрич,ул. Хан Кардам 2,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,052630670,ул. Хан Кардам 2,Добрич,2,Хан Кардам,"ул. Хан Кардам 2, Добрич, България",43.5680655,27.8211819,nominatim_free,"Хан Кардам, ЦГЧ, Добрич, 9300, България",45
